A - a

a kind of bird	कंचर गाड्‍दी
watchman's wife	कोताल बाई
water	एर
water (clean)	मंचि एर
water (stream)	जला
water for cooking	अट्टाना एर
water mixed with chaff	तवडु
water pot (for heating)	एर काच्‍हना अळ्‍का
water.dog	नीर नय्यु
watermelon	टरबुजा काया
water-snake	दोंडेल तरास
watery	पातूर
wave	तड़ा
way	हर्रि
we (incl.)	मनोम
·	मोमोट
weak (become)	ताकत हिल्‍वोड(केदनायवोड)
weak (dilute)	पातूर
wealth	दनम
wear	केर्रुडु
·	पॊंडमड़
wear out	अरगिस होनमड़
·	अर्गुमड़
wear well	तग-
wear.bark.of.tree	मराकुना तोल्‍कु हुटमड
wearied (be)	मातिरतनम
weave	वीनी-की-
·	हरुहमड़
weaver (f.)	सालेदी
weaver (m.)	सालेवाड
weaver caste	मॆरोडु
web (spider)	तीगे
webbing for bed	नुल्का
wedding gift from groom's family	पारीं कलियमड़
wedding party	पारतड
wedding platform	गद्दे
Wednesday	बुदारम
weed	तव्टम तासमड
weep	अडुड़
weevil	नुसि
weigh	जोकमड़
weighing stone	जोकना बंडा
weight	वजन/सडती
well	मंचिगा
well (to be)	सुद्रंचा
well (water)	कुहि
west	पडमटा
wet	तळी
·	नाहुड़
·	सल्‍लगा
wet (become)	नांदमड़
wet (soil)	सिक्‍कटा बुर्दा
wet.grinding.stone	जावक रुब्‍बना बंडा
wet.mud	बुर्दातसंटा मन्नु
wet.soil	तळी मन्नु
what?	बातल
what? (n.pl)	बव
whatever	बातल इत्ते अद
wheat (pl.)	गोह्क
wheel	गारे
when?	बस्के
whenever	बस्‍केनना
where?	बगा
·	बॆंदाल
where? whither?	बेके
whether	की
which colour?	बद रंग
which? (m.)	बोर
which? (n.pl)	बव
which? (nm.)	बद
whip	पोट्टे
whirlpool	सुड़ि
whirlwind	हुडावडि
whisker	मीसम
whisper	गुसा-गुसा वड्‍कमड़
whistle	ऊसीर वाटमड़
white	तेल्‍लगा
white ant	सेदेल
white crocodile	तेल्‍ला मग्‍गुर/बेरेड मग्‍गुर
white hen chick	तेल्‍ला कोर्रु पोरी
white lizard	तेल्‍ला डोक्‍के
white mud	तेल्‍ला मन्नु
white spider	तेल्‍ला बल्‍ली
white.stork	तेल्‍लाकोंगा
who? (m.)	बोर
who? (n.pl)	बव
who? (nm.)	बद
whole.country	देशेमंता
whole.world	जगमंता
·	दुनियामेडू
whose? (m.)	बोनद
why?	बारी
wick	वत्ती
widow	रांडे
wife (sg.)	मुत्तो
wife and husband	मुत्तो-मुय्‍दो
wife of cobbler	माद्‍गिदि
wife's elder sister	तंगवारड़
wife's mother	पॊरड
wife's sister's husband	हग्लाल
wife's younger brother	हेरुंडु कोको
wild	जप्‍पना होंगवायनोर
wild buffalo	केडा बर्रे
wild horse	केडा गुर्रम
wild man	केडा मन्‍कल
wild pigeon	पोन्‍गू
wild plum	रेंगा
wild sheep	जिंका
wild.bufallo	काड बर्रे
wild.cat	केडा वेरकळ
·	निर बिल्‍ली
wild.sparrow	केडा कोड्‍का पिट्टे
wilderness	गेर्रा
·	पडित जेगा
·	मरक हिल्‍वा जॆगा
wilderness wasteland	हेडसोत्ता बूमी
win	गेल्‍सुडु
wind	वड़ी
wind originating from the south	होव्‍वोर वड़ी
winding mechanism on well	गिर्का
winemaker	गमुलोड
wing	रेक्‍का
winnow	तूरपाल्‍क
winter	पीनि कालम
wipe away	उसुममड़
wire	तार
·	तीगे
wire (fencing)	पेन्सिंग तार
wisdom	अक्‍कल
with	तॊड
with force	लगांचि
with great pleasure	गमते-गमती
with much noise	पेद्दा लोल्‍लिते
with that	तोनी
with this	दीनतोनि
with which?	बव्टे
with.big.stomach	पेद्दा पीटद
with.me	नह्गा
wither	उड़गुमड़
without	हिला कोंटे
wolf	तोडेल्‍ली
woman	मुत्तो
·	मुरतड
woman (old)	मातरि
woman and man	मुर्तड-मांड्‍सा
woman of Harijan caste	संड्के
woman who tends cattle	गोड़्क कोहनद
woman's underskirt	गौउन
womb	पीर
wonderful	जोरदार
wood chips	सेक्‍कां
wood from fire	कूटेल
wood plane (tool)	विमानम
wooden beam (cross)	दूलम
wooden beam (main)	एनागरा वासम
wooden pestle	उसमल
wooden tub	तवडु
wooden.stand.for.pots.and.vessels	गडेंचा
wood-pecker	वड्‍ला पिट्टे
woodworm	कट्टेनूसि
word	पोल्‍ले
work	कबड
·	कबड-दंदा
·	दंदा
·	बूती
work hard	कस्‍टम कबड कियमड़
worker	तव्‍वागाड
worker (f.)	कूलीद
worker (m.)	कुलिगाडु
world	जगम
·	दुनिया
worm	गाजुल पुडी
·	बुरसल पुडी
worm (glow)	मिनका पुडि
worms	पुड़कुना मंदा
worry	चिंता
·	पिकिर
worship (act of)	पूजे
worship (to)	दंडम तासमड़
worthless (person)	डंडूल
wound	पुन्‍क आयुडु
wound (infected)	पुन
wrap	हुट्टुडु
wrapped (to be)	हुटतद
wreath	दंडा
wring neck of animal	तेल्‍हामड़
wrist	मट्टा
write	रासुड़

Y - y

yam	नोस्का
yard	वेटेड
yawn (a)	वयह्‍क
yawn (to)	वय्‍हक तेंडमड़
year	वरसा
year before last	हय्योड
yearly	एड़ादिक उंदिमल्‍का
yeast	पीटा
yellow	पसपु पच्‍चगा
·	पसपू पच्‍चा रंगु
yellow.mud	सवडु मन्नु
yesterday	निन्ने
yesterday's water	पासी एर
yoke (for oxen)	कांडि
yoke (part of)	जोत्ते
yolk	नीलम
you	मिमेट
you (pl.)	मिम्मेट
you (s.)	निम्मे
young	लॆतद
young (goat or sheep, m.)	एटी पॊतु पोरी
young (of animal)	पोरी
young fowl	कोर-पोरि
young hen (with chicks)	कोर पेट्टा
young hen (without chicks)	कोर-पेट्टा
young man	लेय्योड
young of buffalo (f.)	दुड्डे
young of goat or sheep (f.)	तलुर एटी पोरी
young tiger	सिर्तागंड
young tree	पोर्का
young woman	लेय्यड
young.cow	लेय्या दुडा
young.goat	मर्का पोरी
younger brother	तम्मुर
·	सिने तम्मुर
younger brother's wife	सिन्ने कोडियड़
younger sister's husband	हडे
youngest	अंटोर्कना सिन्नोड़
your (pl.)	मीवद
your (sg.)	नीवद
youthful	लेय्यगा

Z - z

zero	सुन्ने
zigzag	अडम-दिडम
·	वंकर-डिंकरा
zig-zag	कोंकिड-किंकिड
zinc	जिंक
Zinc	एल्‍गारम

